
 [START 2018-12-23 19:19:12] ---------------------------------------------------

                           |------------ Train -------------|----------- Valid -------------|----------Best Results---------|------------|
mode     iter     epoch    |         loss   f1_macro        |         loss   f1_macro       |         loss   f1_macro       | time       |
-------------------------------------------------------------------------------------------------------------------------------


best   45.0   45.0         |         0.030  0.541           |         0.036  0.5306         |         0.035530  0.530643    |  7 hr 09 min


best   46.0   46.0         |         0.030  0.540           |         0.036  0.5303         |         0.035530  0.530643    |  7 hr 18 min


best   47.0   47.0         |         0.030  0.541           |         0.036  0.5295         |         0.035527  0.530643    |  7 hr 27 min


best   48.0   48.0         |         0.030  0.541           |         0.036  0.5271         |         0.035527  0.530643    |  7 hr 37 min


best   49.0   49.0         |         0.030  0.541           |         0.036  0.5282         |         0.035527  0.530643    |  7 hr 46 min


best   50.0   50.0         |         0.030  0.542           |         0.036  0.5311         |         0.035527  0.531096    |  7 hr 55 min


best   51.0   51.0         |         0.031  0.539           |         0.036  0.5294         |         0.035527  0.531096    |  8 hr 04 min


best   52.0   52.0         |         0.030  0.541           |         0.036  0.5286         |         0.035527  0.531096    |  8 hr 14 min


best   53.0   53.0         |         0.030  0.541           |         0.036  0.5298         |         0.035527  0.531096    |  8 hr 23 min


best   54.0   54.0         |         0.030  0.541           |         0.036  0.5291         |         0.035527  0.531096    |  8 hr 33 min


best   55.0   55.0         |         0.031  0.541           |         0.036  0.5290         |         0.035527  0.531096    |  8 hr 42 min


best   56.0   56.0         |         0.030  0.542           |         0.036  0.5293         |         0.035527  0.531096    |  8 hr 52 min


best   57.0   57.0         |         0.030  0.542           |         0.036  0.5297         |         0.035527  0.531096    |  9 hr 01 min


best   58.0   58.0         |         0.030  0.540           |         0.036  0.5285         |         0.035527  0.531096    |  9 hr 10 min


best   59.0   59.0         |         0.030  0.540           |         0.036  0.5285         |         0.035522  0.531096    |  9 hr 20 min


best   60.0   60.0         |         0.030  0.541           |         0.036  0.5297         |         0.035522  0.531096    |  9 hr 29 min


best   61.0   61.0         |         0.030  0.542           |         0.036  0.5294         |         0.035522  0.531096    |  9 hr 38 min


best   62.0   62.0         |         0.030  0.541           |         0.036  0.5291         |         0.035522  0.531096    |  9 hr 48 min


best   63.0   63.0         |         0.031  0.541           |         0.036  0.5307         |         0.035522  0.531096    |  9 hr 57 min


best   64.0   64.0         |         0.030  0.543           |         0.035  0.5312         |         0.035435  0.531179    | 10 hr 06 min


best   65.0   65.0         |         0.031  0.539           |         0.036  0.5293         |         0.035435  0.531179    | 10 hr 15 min


best   66.0   66.0         |         0.030  0.541           |         0.036  0.5274         |         0.035435  0.531179    | 10 hr 25 min


best   67.0   67.0         |         0.030  0.542           |         0.036  0.5286         |         0.035435  0.531179    | 10 hr 34 min


best   68.0   68.0         |         0.030  0.542           |         0.036  0.5316         |         0.035435  0.531560    | 10 hr 43 min


best   69.0   69.0         |         0.030  0.541           |         0.035  0.5317         |         0.035435  0.531662    | 10 hr 53 min


best   70.0   70.0         |         0.030  0.541           |         0.036  0.5298         |         0.035435  0.531662    | 11 hr 02 min


best   71.0   71.0         |         0.030  0.542           |         0.036  0.5311         |         0.035435  0.531662    | 11 hr 11 min


best   72.0   72.0         |         0.031  0.541           |         0.036  0.5303         |         0.035435  0.531662    | 11 hr 21 min


best   73.0   73.0         |         0.030  0.543           |         0.036  0.5280         |         0.035435  0.531662    | 11 hr 30 min


best   74.0   74.0         |         0.030  0.542           |         0.036  0.5304         |         0.035435  0.531662    | 11 hr 39 min


best   75.0   75.0         |         0.031  0.542           |         0.036  0.5281         |         0.035435  0.531662    | 11 hr 49 min


best   76.0   76.0         |         0.030  0.543           |         0.036  0.5282         |         0.035435  0.531662    | 11 hr 58 min


best   77.0   77.0         |         0.030  0.542           |         0.036  0.5303         |         0.035435  0.531662    | 12 hr 07 min


best   78.0   78.0         |         0.030  0.542           |         0.036  0.5306         |         0.035435  0.531662    | 12 hr 16 min


